UmV	IuA	PuW
  0.0000	108.9000	  0.0000
 76.5600	 74.8000	  5.7267
138.8700	 68.9000	  9.5681
195.8000	 65.3000	 12.7857
245.9800	 61.9000	 15.2262
287.5000	 58.7000	 16.8762
335.0000	 56.7000	 18.9945
379.4000	 54.7000	 20.7532
440.3000	 56.3000	 24.7889
490.2000	 55.8000	 27.3532
546.5000	 57.6000	 31.4784
583.0000	 56.0000	 32.6480
613.3000	 49.6000	 30.4197
623.3000	 46.9000	 29.2328
627.3700	 44.0000	 27.6043
631.7000	 39.0000	 24.6363
638.5000	 35.2000	 22.4752
643.3000	 33.7000	 21.6792
649.0500	 27.1000	 17.5893
651.3600	 22.7000	 14.7859
653.7300	 17.1000	 11.1788
656.3400	 11.4000	  7.4823
753.3500	  0.0000	  0.0000
