UmV	IuA	PnW
  0.0000	  4.0000	  0.0000
  3.8500	  3.4000	 13.0900
  7.2400	  3.4000	 24.6160
 10.4400	  3.3000	 34.4520
 13.5900	  3.3000	 44.8470
 16.6000	  3.2000	 53.1200
 29.8000	  3.1000	 92.3800
 56.8400	  2.9000	164.8360
 81.7200	  2.8000	228.8160
102.2000	  2.6000	265.7200
120.0000	  2.3000	276.0000
134.0000	  2.1000	281.4000
147.9000	  2.0000	295.8000
158.3000	  1.9000	300.7700
166.5000	  1.6000	266.4000
175.0000	  1.6000	280.0000
176.0000	  1.6000	281.6000
245.0000	  0.1000	 24.5000
281.0000	  0.0000	  0.0000
