V,J_1sun,J_01sun,J_001sun,J_0001sun
1.20019,-23.223374,-29.052503,-27.783821,-25.853687
1.18017,-19.163777,-24.919531,-24.031207,-22.688849
1.16018,-15.260581,-20.945006,-20.306447,-19.278413
1.1402,-11.511732,-17.208078,-16.775743,-15.964704
1.12015,-7.986324,-13.761575,-13.520615,-12.877654
1.10017,-4.55819,-10.738637,-10.66943,-10.140827
1.0802,-1.381397,-7.955106,-8.088547,-7.68305
1.06023,1.545866,-5.622603,-5.962112,-5.661385
1.04023,4.209486,-3.711296,-4.261441,-4.052447
1.02026,6.585419,-2.207989,-2.964637,-2.834972
1.0003,8.670346,-1.38057,-2.015229,-1.952872
0.98034,10.464112,-0.500927,-1.344391,-1.337218
0.96216,11.730659,0.225263,-0.968503,-0.995832
0.94019,12.752056,0.712034,-0.600279,-0.667106
0.9202,13.915419,1.049453,-0.359743,-0.456056
0.90018,14.804983,1.195587,-0.194413,-0.313408
0.88019,15.488179,1.410235,-0.127106,-0.215173
0.86021,16.007631,1.548413,-0.029855,-0.146257
0.84022,16.396134,1.643464,0.046737,-0.107307
0.8202,16.682179,1.711039,0.095061,-0.065698
0.80022,16.892592,1.759475,0.121453,-0.038916
0.78022,17.051788,1.794737,0.149196,-0.02057
0.76019,17.182268,1.820715,0.166425,-0.009274
0.74019,17.294603,1.839922,0.177922,0.000715
0.7202,17.396156,1.85457,0.185777,0.007084
0.70021,17.490391,1.865989,0.191196,0.010972
0.68018,17.577006,1.87514,0.19495,0.014223
0.66018,17.655966,1.882659,0.197575,0.016279
0.64019,17.728749,1.888883,0.199453,0.017642
0.62018,17.794905,1.89438,0.200838,0.01857
0.60019,17.855899,1.899073,0.201877,0.019184
0.58021,17.91067,1.90324,0.202682,0.019609
0.56022,17.96162,1.907006,0.203341,0.019911
0.5402,18.008659,1.910413,0.203877,0.020112
0.52021,18.051184,1.913497,0.204335,0.020257
0.50021,18.091106,1.91638,0.204737,0.02038
0.48022,18.127732,1.918961,0.205084,0.020469
0.4602,18.161687,1.921497,0.205408,0.020536
0.4402,18.193743,1.923665,0.205687,0.020603
0.4202,18.222749,1.925832,0.205944,0.020659
0.40017,18.251073,1.927788,0.206201,0.020704
0.38018,18.276313,1.929654,0.206413,0.020749
0.3602,18.300603,1.931408,0.206626,0.020793
0.34021,18.323631,1.933028,0.206816,0.020827
0.3202,18.34486,1.934592,0.206994,0.02086
0.30022,18.365441,1.936078,0.207173,0.020894
0.28023,18.384056,1.937441,0.20733,0.020927
0.26021,18.402525,1.938782,0.207486,0.020961
0.24021,18.419933,1.939955,0.20762,0.020983
0.22022,18.436034,1.941229,0.207754,0.021006
0.20023,18.452078,1.942291,0.207877,0.021039
0.18021,18.466872,1.943397,0.208,0.02105
0.16021,18.480939,1.944425,0.208123,0.021084
0.14021,18.494816,1.945363,0.208223,0.021095
0.12019,18.50733,1.946358,0.208335,0.021117
0.10021,18.520246,1.947207,0.208436,0.02114
0.08022,18.531821,1.948067,0.208514,0.021162
0.06024,18.543374,1.948927,0.208615,0.021173
0.04023,18.554737,1.949676,0.208704,0.021184
0.02024,18.564883,1.950503,0.208782,0.021207
2.59E-04,18.575251,1.951162,0.20886,0.021229
-0.02001,18.586011,1.951944,0.20895,0.02124
-0.04,18.594726,1.952603,0.209017,0.021251
-0.06001,18.603989,1.953218,0.209084,0.021274
-0.08,18.612067,1.953911,0.209162,0.021285
-0.09999,18.621285,1.954436,0.209229,0.021296
-0.11997,18.628916,1.955095,0.209296,0.021318
-0.14,18.637352,1.955631,0.209363,0.02133
-0.16,18.644827,1.956201,0.209419,0.021341
-0.17999,18.652011,1.956737,0.209486,0.021363
-0.20002,18.659754,1.95724,0.209542,0.021374
