UmV	ImA
  0.0000	112.5000
114.0000	112.0000
349.0000	111.0000
349.0000	112.0000
1158.0000	108.0000
1375.9000	108.1000
1485.1000	106.2000
1581.6000	104.9000
1627.9000	102.1000
1650.8000	101.4000
1684.3000	 98.7000
1697.0000	 96.5000
1830.3000	 74.3000
1882.2000	 59.9000
1901.8000	 53.6000
1913.9000	 49.8000
1929.8000	 43.9800
1944.9000	 38.2800
1956.6000	 33.5800
1963.6000	 30.7200
1969.8000	 28.0600
1978.2000	 24.2700
1986.7000	 20.5800
1992.6000	 17.9600
1996.7000	 16.0900
1999.7000	 14.6200
2001.5000	 13.5800
2003.4000	 12.7500
2005.7000	 11.7200
2007.3000	 10.8200
2008.8000	  9.9200
2009.6000	  9.4800
2010.6000	  8.8800
2012.1000	  8.3500
2013.8000	  7.4200
2013.9000	  7.2300
2016.2000	  5.9500
2029.2000	  0.0000
