UmV	PmW
  0.0000	  0.0000
257.7000	 30.4086
435.1000	 50.7762
536.9000	 62.6025
688.6000	 79.8776
871.4000	100.4724
1142.8000	130.3935
1275.9000	143.6663
1284.8000	144.9254
1354.7000	150.2362
1390.7000	151.0300
1452.4000	150.7591
1457.3000	150.8305
1496.6000	147.1158
1506.8000	149.9266
1602.3000	132.0295
1632.4000	119.6549
1665.3000	106.2461
1687.0000	 95.1468
1711.6000	 81.8145
1746.3000	 60.7712
1763.0000	 49.0114
1771.6000	 41.9869
1779.9000	 35.0640
1791.7000	 25.6213
1804.2000	 15.6965
1809.6000	 10.4957
